
Pakistan	Imran	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
ALi	d	0--858993460--858993460	-858993460	-858993460	-858993460
